Name,CR,Type,Size,Image URL
Guard (Stranger Things),0.125,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/51925/795/100/100/638951219376457013.jpeg
Diseased Giant Rat,0.125,Beast,Small,https://www.dndbeyond.com/avatars/thumbnails/5634/468/100/100/636886889296409148.jpeg
Sauriv,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6055/738/100/100/636936207628161154.jpeg
Lord Khaspere Drylund,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6585/62/100/100/636990665959850923.png
Thurstwell Vanthampur,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6692/200/100/100/637000771036642626.png
Yalah Gralhund,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/7095/916/100/100/637036061661730106.png
Orond Gralhund,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/7095/923/100/100/637036062002837166.png
Ott Steeltoes,0.125,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/7095/958/100/100/637036067001624973.png
Flumph,0.125,Aberration,Small,https://www.dndbeyond.com/avatars/thumbnails/8/818/100/100/636319337523898045.jpeg
Khargra,0.125,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/8006/121/100/100/637115706268858364.jpeg
Jermlaine,0.125,Humanoid,Tiny,https://www.dndbeyond.com/avatars/thumbnails/8006/96/100/100/637115702531714125.jpeg
Manes,0.125,Fiend,Small,https://www.dndbeyond.com/avatars/thumbnails/9/117/100/100/636323623730157597.jpeg
Boggle,0.125,Fey,Small,https://www.dndbeyond.com/avatars/thumbnails/9/593/100/100/636329509694348711.jpeg
Xvart,0.125,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/9/819/100/100/636332181538894285.jpeg
Steam Mephit,0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/0/112/100/100/636252745841351983.jpeg
Sprite,0.25,Fey,Tiny,https://www.dndbeyond.com/avatars/thumbnails/0/114/100/100/636252746444504884.jpeg
Blink Dog,0.25,Fey,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/204/100/100/636252764168184085.jpeg
Pseudodragon,0.25,Dragon,Tiny,https://www.dndbeyond.com/avatars/thumbnails/0/282/100/100/636252770521232549.jpeg
Dretch,0.25,Fiend,Small,https://www.dndbeyond.com/avatars/thumbnails/0/292/100/100/636252771252812668.jpeg
Goblin,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/0/350/100/100/636252777818027282.jpeg
Grimlock,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/374/100/100/636252780049181458.jpeg
Young Griffon (Small),0.25,Monstrosity,Small,https://www.dndbeyond.com/avatars/thumbnails/12734/977/100/100/637357081793104298.jpeg
Pidlwick II,0.25,Construct,Small,https://www.dndbeyond.com/avatars/thumbnails/13140/691/100/100/637375849523755309.jpeg
Swarm of Rats (Diseased Variant),0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/13426/730/100/100/637389741036130046.jpeg
Ixitxachitl,0.25,Aberration,Small,https://www.dndbeyond.com/avatars/thumbnails/14/996/100/100/636369567389850101.jpeg
Needle Blight,0.25,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/16/459/100/100/636376285135086181.jpeg
Skeleton,0.25,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/16/471/100/100/636376294572614519.jpeg
Wolf,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/16/481/100/100/636376300223230358.jpeg
Drow,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/16/500/100/100/636376310725648074.jpeg
Duodrone,0.25,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/16/504/100/100/636376313171257143.jpeg
Giant Frog,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/16/520/100/100/636376321051878548.jpeg
Giant Badger,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/16/529/100/100/636376327839109666.jpeg
Giant Owl,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/16/534/100/100/636376331787662089.jpeg
Swarm of Ravens,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/16/554/100/100/636376341742802314.jpeg
Smoke Mephit,0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/16/608/100/100/636376386914884764.jpeg
Grippli Warrior,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/16420/921/100/100/637514193135820175.jpeg
Swarm of Animated Books,0.25,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/16420/959/100/100/637514193194655167.jpeg
Mud Mephit,0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/18/296/100/100/636379807087803741.jpeg
Giant Snail,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/20472/425/100/100/637677439729885893.jpeg
Jingle Jangle,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/20472/451/100/100/637677440972569225.jpeg
Squirt the Oilcan,0.25,Construct,Tiny,https://www.dndbeyond.com/avatars/thumbnails/20472/573/100/100/637677445478796554.jpeg
Metallic Warbler,0.25,Construct,Tiny,https://www.dndbeyond.com/avatars/thumbnails/21205/289/100/100/637707682540211780.jpeg
Art Elemental Mascot,0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/22135/777/100/100/637743395536963440.jpeg
Fractal Mascot,0.25,Construct,Small,https://www.dndbeyond.com/avatars/thumbnails/22135/794/100/100/637743395561225355.jpeg
Inkling Mascot,0.25,Ooze,Tiny,https://www.dndbeyond.com/avatars/thumbnails/22135/802/100/100/637743395571916290.jpeg
Pest Mascot,0.25,Monstrosity,Tiny,https://www.dndbeyond.com/avatars/thumbnails/22135/817/100/100/637743395589307968.jpeg
Spirit Statue Mascot,0.25,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/22135/837/100/100/637743395616199834.jpeg
Apprentice Wizard,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/133/100/100/637880557126423611.jpeg
Deep Rothé,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/256/100/100/637880557332912764.jpeg
Derro,0.25,Aberration,Small,https://www.dndbeyond.com/avatars/thumbnails/25746/268/100/100/637880557354974555.jpeg
Gnoll Witherling,0.25,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/429/100/100/637880557646031386.jpeg
Kobold Inventor,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/25746/478/100/100/637880557742740512.jpeg
Oblex Spawn,0.25,Ooze,Tiny,https://www.dndbeyond.com/avatars/thumbnails/25746/582/100/100/637880557897664579.jpeg
Star Spawn Grue,0.25,Aberration,Small,https://www.dndbeyond.com/avatars/thumbnails/25746/661/100/100/637880558021500267.jpeg
Tortle,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/25746/717/100/100/637880558102491775.jpeg
Wretched Sorrowsworn,0.25,Monstrosity,Small,https://www.dndbeyond.com/avatars/thumbnails/25746/761/100/100/637880558170187944.jpeg
The Wretched,0.25,Monstrosity,Small,https://www.dndbeyond.com/avatars/thumbnails/271/491/100/100/636599007558507779.jpeg
Oblex Spawn,0.25,Ooze,Tiny,https://www.dndbeyond.com/avatars/thumbnails/277/896/100/100/636601938189392816.jpeg
Giant Space Hamster,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/28079/843/100/100/637961800784553123.jpeg
Gray Scavver,0.25,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/28079/864/100/100/637961800822928313.jpeg
Plasmoid Explorer,0.25,Ooze,Medium,https://www.dndbeyond.com/avatars/thumbnails/28079/905/100/100/637961800900303069.jpeg
Space Swine,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/28079/935/100/100/637961800960830195.jpeg
Derro,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/293/195/100/100/636609615953743854.jpeg
Violet Fungus,0.25,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/29317/505/100/100/638004853117795138.jpeg
Zombie,0.25,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/29317/524/100/100/638004853821765797.jpeg
Albino Dwarf Warrior,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/30/734/100/100/636395096813400411.jpeg
Tabaxi Minstrel,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/30/768/100/100/636395100851757248.jpeg
Yellow Musk Zombie,0.25,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/30/772/100/100/636395101541965161.jpeg
Kender Skirmisher,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/30414/542/100/100/638046466585635159.jpeg
Morte,0.25,Undead,Tiny,https://www.dndbeyond.com/avatars/thumbnails/37204/494/100/100/638318543784223791.jpeg
Minotaur Archaeologist,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/37782/624/100/100/638342873817284663.jpeg
Geonid,0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/39/272/100/100/636411143898207674.jpeg
Tortle,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/39/276/100/100/636411144567564326.jpeg
Derro Raider,0.25,Aberration,Small,https://www.dndbeyond.com/avatars/thumbnails/42855/617/100/100/638560560733402405.jpeg
Vegepygmy Scavenger,0.25,Plant,Small,https://www.dndbeyond.com/avatars/thumbnails/42855/657/100/100/638560560799390557.jpeg
Boar,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/43938/951/100/100/638607410434493290.jpeg
Draft Horse,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/43939/171/100/100/638607416540430468.jpeg
Giant Badger,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/43939/228/100/100/638607417896181419.jpeg
Riding Horse,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/43939/798/100/100/638607431384220950.jpeg
Wolf,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/43939/947/100/100/638607435567745183.jpeg
Skeleton,0.25,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/47005/420/100/100/638736713556477971.jpeg
Zombie,0.25,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/47005/521/100/100/638736718979497977.jpeg
Aarakocra Skirmisher,0.25,Elemental,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/543/100/100/638741963673024642.jpeg
Animated Broom,0.25,Construct,Small,https://www.dndbeyond.com/avatars/thumbnails/47138/605/100/100/638741963763624159.jpeg
Axe Beak,0.25,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/631/100/100/638741963798023376.jpeg
Dretch,0.25,Fiend,Small,https://www.dndbeyond.com/avatars/thumbnails/47138/771/100/100/638741963988778806.jpeg
Giant Bat,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/847/100/100/638741964094408428.jpeg
Giant Centipede,0.25,Beast,Small,https://www.dndbeyond.com/avatars/thumbnails/47138/853/100/100/638741964100543394.jpeg
Giant Frog,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/865/100/100/638741964116983351.jpeg
Giant Lizard,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/869/100/100/638741964123576361.jpeg
Giant Owl,0.25,Celestial,Large,https://www.dndbeyond.com/avatars/thumbnails/47138/873/100/100/638741964129657804.jpeg
Giant Venomous Snake,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/885/100/100/638741964149062305.jpeg
Giant Wolf Spider,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/891/100/100/638741964156568682.jpeg
Goblin Warrior,0.25,Fey,Small,https://www.dndbeyond.com/avatars/thumbnails/47138/925/100/100/638741964202886887.jpeg
Grimlock,0.25,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/47138/951/100/100/638741964235650005.jpeg
Needle Blight,0.25,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/113/100/100/638741964461135837.jpeg
Kenku,0.25,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/15/100/100/638741964327461195.jpeg
Pixie,0.25,Fey,Tiny,https://www.dndbeyond.com/avatars/thumbnails/47139/161/100/100/638741964527386421.jpeg
Priest Acolyte,0.25,Humanoid,Medium or Small,https://www.dndbeyond.com/avatars/thumbnails/47139/171/100/100/638741964542089727.jpeg
Pteranodon,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/179/100/100/638741964550977965.jpeg
Smoke Mephit,0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/47139/248/100/100/638741964644796444.jpeg
Steam Mephit,0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/47139/270/100/100/638741964679062189.jpeg
Swarm of Bats,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47139/278/100/100/638741964690510112.jpeg
Swarm of Rats,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/290/100/100/638741964708043285.jpeg
Swarm of Ravens,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/292/100/100/638741964712252487.jpeg
Kuo-toa,0.25,Aberration,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/30/100/100/638741964346557477.jpeg
Troglodyte,0.25,Monstrosity,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/312/100/100/638741964739632633.jpeg
Violet Fungus,0.25,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/345/100/100/638741964782518694.jpeg
Winged Kobold,0.25,Dragon,Small,https://www.dndbeyond.com/avatars/thumbnails/47139/379/100/100/638741964832117357.jpeg
Modron Duodrone,0.25,Construct,Medium,https://www.dndbeyond.com/avatars/thumbnails/47139/85/100/100/638741964422318985.jpeg
Mud Mephit,0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/47139/97/100/100/638741964438005592.jpeg
Animated Flying Sword,0.25,Construct,Small,https://www.dndbeyond.com/avatars/thumbnails/47144/492/100/100/638742151345014354.jpeg
Blink Dog,0.25,Fey,Medium,https://www.dndbeyond.com/avatars/thumbnails/47158/254/100/100/638742806358648946.jpeg
Bullywug Warrior,0.25,Fey,Medium,https://www.dndbeyond.com/avatars/thumbnails/47158/362/100/100/638742811169784760.jpeg
Pseudodragon,0.25,Dragon,Tiny,https://www.dndbeyond.com/avatars/thumbnails/47158/627/100/100/638742822948687414.jpeg
Sprite,0.25,Fey,Tiny,https://www.dndbeyond.com/avatars/thumbnails/47158/672/100/100/638742824958813585.jpeg
Panther,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/47158/777/100/100/638742829883957474.jpeg
Constrictor Snake,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47158/791/100/100/638742830746745538.jpeg
Elk,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/47158/815/100/100/638742831953623664.jpeg
Anarch,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/4719/936/100/100/636755114841812299.jpeg
Sprite Skirmisher,0.25,Fey,Tiny,https://www.dndbeyond.com/avatars/thumbnails/51505/714/100/100/638932886814721439.jpeg
Vinx,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/51505/716/100/100/638932886817529588.jpeg
Dretch (Stranger Things),0.25,Fiend,Small,https://www.dndbeyond.com/avatars/thumbnails/51925/781/100/100/638951219360368678.jpeg
Goblin Warrior (Stranger Things),0.25,Fey,Small,https://www.dndbeyond.com/avatars/thumbnails/51925/793/100/100/638951219373025062.jpeg
Needle Blight (Stranger Things),0.25,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/51925/807/100/100/638951219392213349.jpeg
Violet Fungus (Stranger Things),0.25,Plant,Medium,https://www.dndbeyond.com/avatars/thumbnails/51925/821/100/100/638951219409842099.jpeg
Pseudodragon (familiar variant),0.25,Dragon,Tiny,https://www.dndbeyond.com/avatars/thumbnails/5736/547/100/100/636898222865962275.jpeg
Mud Mephit (Summoner Variant),0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/5738/388/100/100/636898387523982976.jpeg
Smoke Mephit (Summoner Variant),0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/5738/406/100/100/636898388904211439.jpeg
Steam Mephit (Summoner Variant),0.25,Elemental,Small,https://www.dndbeyond.com/avatars/thumbnails/5738/422/100/100/636898390004950870.jpeg
Gildha Duhn,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6214/300/100/100/636952488661193503.jpeg
Mongrelfolk,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/6529/150/100/100/636985373099128802.png
Spiderbait,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/6556/782/100/100/636987872954487252.png
Yuk Yuk,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/6556/786/100/100/636987873226790662.png
Erky Timbers,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/6557/537/100/100/636987985254139481.png
Rock Gnome Recluse,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/6567/231/100/100/636988925949655445.png
Abyssal Chicken,0.25,Fiend,Tiny,https://www.dndbeyond.com/avatars/thumbnails/6658/474/100/100/636997675078130462.png
Bone Whelk,0.25,Monstrosity,Large,https://www.dndbeyond.com/avatars/thumbnails/6774/909/100/100/637008601112931094.png
Flying Sword,0.25,Construct,Small,https://www.dndbeyond.com/avatars/thumbnails/77/598/100/100/636473151105233589.jpeg
Fastieth,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/7725/592/100/100/637091617575843878.jpeg
Kalashtar,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/7726/553/100/100/637091730003465017.jpeg
Aarakocra,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/8/441/100/100/636306375308314493.jpeg
Bullywug,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/8/657/100/100/636313385791511428.jpeg
Kenku,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/8/920/100/100/636320985309636215.jpeg
Kuo-toa,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/8/922/100/100/636320993983026731.jpeg
Mite,0.25,Fey,Small,https://www.dndbeyond.com/avatars/thumbnails/8006/129/100/100/637115707251750494.jpeg
Troglodyte,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/107/100/100/636323540009881206.jpeg
Pixie,0.25,Fey,Tiny,https://www.dndbeyond.com/avatars/thumbnails/9/52/100/100/636322779296621597.jpeg
Gnoll Witherling,0.25,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/678/100/100/636330376242104729.jpeg
Grung,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/9/680/100/100/636330382387498398.jpeg
Kobold Inventor,0.25,Humanoid,Small,https://www.dndbeyond.com/avatars/thumbnails/9/729/100/100/636331209440233525.jpeg
Vegepygmy,0.25,Plant,Small,https://www.dndbeyond.com/avatars/thumbnails/9/805/100/100/636332068277599319.jpeg
Apprentice Wizard,0.25,Humanoid,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/842/100/100/636332311072842224.jpeg
Riding Horse,0.25,Beast,Large,https://www.dndbeyond.com/avatars/thumbnails/9/903/100/100/636334288912925926.jpeg
Swarm of Bats,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/905/100/100/636334289313376978.jpeg
Swarm of Rats,0.25,Beast,Medium,https://www.dndbeyond.com/avatars/thumbnails/9/907/100/100/636334289541128408.jpeg
Shadow,0.5,Undead,Medium,https://www.dndbeyond.com/avatars/thumbnails/0/154/100/100/636252758976719287.jpeg
