{///monster[몬스터키]: [이름, 설명, 레이팅, 체력, 공격력, 방어력]
    "skeleton_soldier": ["스켈레톤 병사", "녹슨 갑옷과 검으로 무장한 스켈레톤.", 200, 80, 32, 36],
    "ghoul": ["구울", "시체를 먹는 언데드. 공격당하면 마비될 수 있다.", 200, 140, 42, 25],
    "imp": ["임프", "장난을 좋아하는 하급 악마. 독침을 가지고 있다.", 150, 80, 28, 23],
    "thorny_vine": ["가시 덩굴", "지나가는 생물을 휘감아 조르는 식물.", 50, 30, 9, 8],
    "thief": ["도적", "던전에 숨어들어온 인간 도적.", 150, 90, 31, 21],
    "war_dog": ["투견", "전투를 위해 훈련된 사나운 개.", 150, 90, 30, 21],
    "shadow": ["그림자", "희미한 그림자 형상의 언데드. 힘을 흡수한다.", 200, 60, 15, 47],
    "acid_slime": ["산성 슬라임", "장비를 부식시키는 산성을 띠는 슬라임.", 200, 140, 34, 29],
    "fire_ant": ["불 개미", "물리면 불에 타는 듯한 고통을 주는 거대 개미.", 100, 40, 14, 19],
    "poison_toad": ["독 두꺼비", "독을 품은 점액을 뱉는 거대한 두꺼비.", 150, 140, 25, 19],
    "hyena": ["하이에나", "썩은 고기를 찾아다니는 기회주의적인 맹수.", 150, 100, 27, 22],
    "orc": ["오크", "호전적이고 힘이 센 몬스터. 도끼를 주로 사용한다.", 300, 220, 51, 43],
    "lizardman": ["리자드맨", "비늘로 덮여 방어력이 높은 파충류 전사.", 300, 190, 45, 49],
    "gnoll": ["놀", "하이에나 머리를 한 수인. 잔혹한 성품을 지녔다.", 300, 220, 53, 42],
    "harpy": ["하피", "여성의 얼굴과 새의 몸을 가진 괴물. 노래로 유혹한다.", 400, 340, 93, 40],
    "warg": ["워그", "오크들이 타고 다니는 거대하고 사악한 늑대.", 350, 280, 61, 47],
    "gargoyle": ["가고일", "석상인 척 위장하다가 기습하는 비행 몬스터.", 450, 270, 62, 77],
    "bugbear": ["버그베어", "고블린류 중 가장 거대하고 힘이 센 종족.", 450, 380, 81, 57],
    "gelatinous_cube": ["젤라틴 큐브", "투명한 육면체 모양의 슬라임. 통로를 꽉 채운다.", 500, 470, 56, 75],
    "hellhound": ["헬하운드", "지옥의 불길을 내뿜는 사냥개.", 400, 270, 80, 53],
    "mimic": ["미믹", "보물상자로 위장해 모험가를 잡아먹는 괴물.", 450, 310, 80, 64],
    "rust_eater": ["러스트 이터", "금속 장비를 녹슬게 만드는 곤충형 괴물.", 300, 120, 25, 66],
    "owlbear": ["아울베어", "부엉이의 머리와 곰의 몸을 가진 흉폭한 맹수.", 500, 370, 92, 67],
    "griffon": ["그리폰", "사자의 몸통에 독수리의 머리와 날개를 가진 환수.", 500, 340, 91, 71],
    "wight": ["와이트", "지성을 가진 강력한 언데드. 생명력을 흡수한다.", 400, 230, 70, 62],
    "phantom": ["팬텀", "물리 공격이 거의 통하지 않는 유령.", 350, 110, 20, 84],
    "specter": ["스펙터", "공포를 불러일으키는 악령.", 450, 230, 45, 90],
    "incubus": ["인큐버스", "꿈속에 나타나 정기를 흡수하는 남성형 몽마.", 450, 350, 80, 60],
    "succubus": ["서큐버스", "아름다운 외모로 유혹해 정기를 흡수하는 여성형 몽마.", 450, 350, 80, 60],
    "werewolf": ["웨어울프", "늑대인간. 은이나 마법 무기가 아니면 상처 입히기 힘들다.", 500, 330, 88, 73],
    "centaur": ["켄타우로스", "상반신은 인간, 하반신은 말인 종족. 활과 창을 잘 다룬다.", 400, 260, 79, 55],
    "ghast": ["가스트", "구울의 상위종. 악취를 풍겨 구역질을 유발한다.", 350, 250, 62, 49],
    "ogre": ["오우거", "거대한 덩치와 무지막지한 힘을 가진 식인 괴물.", 600, 470, 110, 78],
    "troll": ["트롤", "놀라운 재생 능력을 가진 괴물. 불이나 산이 약점이다.", 700, 640, 110, 91],
    "minotaur": ["미노타우로스", "소의 머리를 한 인간형 괴물. 미궁의 지배자.", 900, 850, 150, 110],
    "basilisk": ["바실리스크", "눈을 마주치면 돌로 변하게 만드는 마수.", 850, 600, 130, 130],
    "manticore": ["맨티코어", "사자 몸, 사람 얼굴, 전갈 꼬리를 가진 괴수. 가시를 발사한다.", 900, 700, 160, 120],
    "medusa": ["메두사", "뱀 머리카락을 가진 마녀. 시선이 닿으면 석화된다.", 900, 850, 150, 110],
    "wyvern": ["와이번", "드래곤의 아종. 앞발이 없고 꼬리에 독침이 있다.", 800, 500, 140, 120],
    "wraith": ["레이스", "원한에 찬 악령. 접촉 시 생명력을 영구적으로 앗아간다.", 750, 350, 80, 150],
    "chimera": ["키메라", "사자, 염소, 용의 머리를 가진 합성 마수.", 900, 700, 160, 120],
    "doppelganger": ["도플갱어", "타인의 모습으로 완벽하게 변신하는 몬스터.", 600, 400, 120, 80],
    "lamia": ["라미아", "상반신은 미녀, 하반신은 뱀인 몬스터. 환각을 건다.", 700, 570, 120, 93],
    "arachne": ["아라크네", "상반신은 인간, 하반신은 거미. 강력한 거미줄을 뿜는다.", 750, 600, 130, 100],
    "dullahan": ["듀라한", "자신의 머리를 들고 다니는 목 없는 기사.", 850, 550, 120, 140],
    "salamander": ["살라만더", "불을 휘감고 있는 도마뱀 정령.", 700, 400, 120, 110],
    "ifrit": ["이프리트", "화염의 마신. 강력한 화염 마법을 구사한다.", 900, 700, 160, 120],
    "djinn": ["진", "바람의 마신. 변덕스럽고 강력하다.", 900, 700, 160, 120],
    "flesh_golem": ["플레시 골렘", "시체를 엮어 만든 인조 생명체. 마법에 내성이 있다.", 850, 700, 110, 130],
    "hill_giant": ["힐 자이언트", "언덕 거인. 지능은 낮지만 바위를 던지는 힘은 강력하다.", 900, 750, 150, 120],
    "cyclops": ["사이클롭스", "외눈박이 거인. 미래를 보는 능력이 있다고도 한다.", 1000, 900, 160, 130],
    "fire_giant": ["파이어 자이언트", "불을 다루는 강철 피부의 거인.", 1200, 950, 170, 180],
    "frost_giant": ["프로스트 자이언트", "극한의 추위 속에서 살아가는 얼음 거인.", 1150, 950, 160, 170],
    "bone_dragon": ["본 드래곤", "죽어서 뼈만 남은 드래곤. 죽음의 입김을 뿜는다.", 1300, 1000, 180, 200],
    "stone_golem": ["스톤 골렘", "바위로 만들어진 골렘. 어마어마한 방어력을 자랑한다.", 1250, 1000, 150, 200],
    "rakshasa": ["락샤사", "호랑이 머리를 한 악마. 마법과 환영의 대가.", 1350, 1200, 210, 180],
    "hydra": ["히드라", "머리가 잘려도 다시 자라나는 다두사.", 1300, 1300, 180, 170],
    "treant": ["트리언트", "움직이는 거대한 나무. 숲을 지킨다.", 1100, 900, 140, 170],
    "dark_knight": ["다크 나이트", "타락한 기사. 사악한 기운이 서린 검술을 쓴다.", 1000, 550, 150, 170],
    "high_orc_warlord": ["하이 오크 워로드", "오크 군단장. 수많은 전장을 누비며 살아남았다.", 1050, 800, 150, 160],
    "spirit_naga": ["스피릿 나가", "강력한 독과 마법을 사용하는 뱀 요괴.", 1200, 950, 190, 170],
    "lesser_demon": ["레서 데몬", "하급 악마라고는 하나 인간에게는 재앙과 같다.", 950, 700, 150, 140],
    "abyss_worm": ["어비스 웜", "심연의 구덩이에서 기어나온 거대한 벌레.", 1250, 1200, 190, 160],
    "vampire": ["뱀파이어", "밤의 귀족. 수많은 권속을 거느린 흡혈귀의 왕.", 1600, 1500, 260, 200],
    "lich": ["리치", "스스로 언데드가 된 대마법사. 죽음을 초월했다.", 1800, 1800, 290, 220],
    "iron_golem": ["아이언 골렘", "강철로 주조된 골렘. 마법이 거의 통하지 않는다.", 1500, 1400, 170, 230],
    "six_armed_rakshasa": ["육비의 나찰녀", "여섯 개의 팔에 무기를 든 뱀 몸통의 상급 악마.", 1850, 1800, 280, 230],
    "inferno_lord": ["인페르노 로드", "화염 채찍과 검을 다루는 고위 악마.", 1900, 1900, 260, 250],
    "death_knight": ["데스 나이트", "죽음의 기사. 생전의 무의를 그대로 간직한 채 불사가 되었다.", 1650, 1400, 220, 240],
    "ancient_treant": ["에인션트 트리언트", "수천 년을 살아온 숲의 수호자.", 1550, 1600, 180, 210],
    "phoenix": ["피닉스", "불사의 상징. 죽어도 재 속에서 부활한다.", 1750, 1600, 280, 220],
    "adult_red_dragon": ["어덜트 레드 드래곤", "성체 붉은 용. 모든 것을 태워버리는 화염 브레스를 뿜는다.", 1900, 1900, 210, 270],
    "ancient_red_dragon": ["에인션트 레드 드래곤", "재앙 그 자체인 고대 붉은 용. 브레스 한 방에 군대를 전멸시킨다.", 2000, 2600, 180, 250],
    "ancient_black_dragon": ["에인션트 블랙 드래곤", "늪지의 지배자. 모든 것을 녹이는 산성 브레스를 뿜는다.", 1950, 2400, 180, 250],
    "behemoth": ["베히모스", "신조차 두려워하는 지상의 포식자. 산맥을 무너뜨리는 힘을 지녔다.", 2500, 3300, 210, 310],
    "fallen_seraphim": ["타락한 세라핌", "신에게 반역하여 타락한 치천사. 검은 날개로 하늘을 뒤덮는다.", 2200, 2600, 260, 270],
    "abyss_beast": ["심연의 괴수", "이계의 심연에서 기어나온 형용할 수 없는 공포의 존재.", 2100, 2600, 220, 260]
}
